waves, flux
1.359000000000000000e+03,3.253784177856267057e-12
1.361000000000000000e+03,5.308613357929425902e-12
1.363000000000000000e+03,2.682173060042369883e-12
1.365000000000000000e+03,2.514506398237914553e-12
1.367000000000000000e+03,2.765588105746452641e-12
1.369000000000000000e+03,2.759659688267301902e-12
1.371000000000000000e+03,5.372629641522963517e-12
1.373000000000000000e+03,2.552853761716988856e-12
1.375000000000000000e+03,2.872369226150639498e-12
1.377000000000000000e+03,2.413356407077182908e-12
1.379000000000000000e+03,2.778933550287576715e-12
1.381000000000000000e+03,5.219759086766417866e-12
1.383000000000000000e+03,2.834051352970656801e-12
1.385000000000000000e+03,3.063469183189893030e-12
1.387000000000000000e+03,2.511763149901091730e-12
1.389000000000000000e+03,3.022892049522885038e-12
1.391000000000000000e+03,5.578268099173944172e-12
1.393000000000000000e+03,2.690359870646807927e-12
1.395000000000000000e+03,2.448868798715642114e-12
1.397000000000000000e+03,2.582921506885660357e-12
1.399000000000000000e+03,2.412265916532096988e-12
1.401000000000000000e+03,2.324007089202217990e-12
1.403000000000000000e+03,5.074784559591649646e-12
1.405000000000000000e+03,2.387042386670090721e-12
1.407000000000000000e+03,2.530390176905261690e-12
1.409000000000000000e+03,2.661402565343196081e-12
1.411000000000000000e+03,3.073506076381460339e-12
1.413000000000000000e+03,5.670784588435173745e-12
1.415000000000000000e+03,2.348157692594332602e-12
1.417000000000000000e+03,2.490176901487339833e-12
1.419000000000000000e+03,2.789938852859608076e-12
1.421000000000000000e+03,2.655480002555776764e-12
1.423000000000000000e+03,5.288064040473439142e-12
1.425000000000000000e+03,2.277994199523236674e-12
1.427000000000000000e+03,2.468040962572137786e-12
1.429000000000000000e+03,2.514924249755190466e-12
1.431000000000000000e+03,3.066243439708848939e-12
1.433000000000000000e+03,4.273827168901900286e-12
1.435000000000000000e+03,2.606549741671071452e-12
1.437000000000000000e+03,2.483223262433886802e-12
1.439000000000000000e+03,3.014947232843345759e-12
1.441000000000000000e+03,2.355687043001375436e-12
1.443000000000000000e+03,4.658696388729066662e-12
1.445000000000000000e+03,2.478408754266747671e-12
1.447000000000000000e+03,2.335818604509709573e-12
1.449000000000000000e+03,2.428865051792850061e-12
1.451000000000000000e+03,2.389078084669149504e-12
1.453000000000000000e+03,4.798471732805897894e-12
1.455000000000000000e+03,2.071132978662126867e-12
1.457000000000000000e+03,2.029702794725807280e-12
1.459000000000000000e+03,2.020852018710939113e-12
1.461000000000000000e+03,2.445271849588204205e-12
1.463000000000000000e+03,2.011711760716017316e-12
1.465000000000000000e+03,4.511883488350632021e-12
1.467000000000000000e+03,2.327810687263731637e-12
1.469000000000000000e+03,2.201754186956228487e-12
1.471000000000000000e+03,2.281374091375742985e-12
1.473000000000000000e+03,2.289488260434624500e-12
1.475000000000000000e+03,4.647535177884631885e-12
1.477000000000000000e+03,1.970079481494746432e-12
1.479000000000000000e+03,2.625521544966091803e-12
1.481000000000000000e+03,2.400822379441946985e-12
1.483000000000000000e+03,2.147755497755587939e-12
1.485000000000000000e+03,4.656171065028913425e-12
1.487000000000000000e+03,2.040610952783183940e-12
1.489000000000000000e+03,2.014686377796448546e-12
1.491000000000000000e+03,2.175331746331887750e-12
1.493000000000000000e+03,2.144116047902988598e-12
1.495000000000000000e+03,4.163387950367747337e-12
1.497000000000000000e+03,1.975802334241993918e-12
1.499000000000000000e+03,2.216615996655790788e-12
1.501000000000000000e+03,2.103666633251899398e-12
1.503000000000000000e+03,2.158188558420981451e-12
1.505000000000000000e+03,4.330020283299651496e-12
1.507000000000000000e+03,1.902278464957496418e-12
1.509000000000000000e+03,2.126162310447932136e-12
1.511000000000000000e+03,1.896780258900387928e-12
1.513000000000000000e+03,1.884743880062322852e-12
1.515000000000000000e+03,2.147097820717758232e-12
1.517000000000000000e+03,3.870074616676988377e-12
1.519000000000000000e+03,1.705184279367222278e-12
1.521000000000000000e+03,1.903694866675631481e-12
1.523000000000000000e+03,2.015662376592119998e-12
1.525000000000000000e+03,2.043774437882062145e-12
1.527000000000000000e+03,3.981928285365365916e-12
1.529000000000000000e+03,1.669962779171640932e-12
1.531000000000000000e+03,1.814602829976197373e-12
1.533000000000000000e+03,1.879059841752850346e-12
1.535000000000000000e+03,1.837433200382876386e-12
1.537000000000000000e+03,4.078134748300432655e-12
1.539000000000000000e+03,1.707569632566907636e-12
1.541000000000000000e+03,1.839361779207293601e-12
1.543000000000000000e+03,1.978420031967242920e-12
1.545000000000000000e+03,1.940040142422994052e-12
1.547000000000000000e+03,3.945542352036535139e-12
1.549000000000000000e+03,2.107748437590872825e-12
1.551000000000000000e+03,1.974736563506440667e-12
1.553000000000000000e+03,1.557251614985044608e-12
1.555000000000000000e+03,1.927329823514511986e-12
1.557000000000000000e+03,3.861117805689651128e-12
1.559000000000000000e+03,1.900568894971921274e-12
1.561000000000000000e+03,1.746386889267537157e-12
1.563000000000000000e+03,1.793819541691388242e-12
1.565000000000000000e+03,2.036546278838535784e-12
1.567000000000000000e+03,3.526008369829358724e-12
1.569000000000000000e+03,1.562893803090659173e-12
1.571000000000000000e+03,1.598209520455029509e-12
1.573000000000000000e+03,1.817772603447675994e-12
1.575000000000000000e+03,1.707834394737428596e-12
1.577000000000000000e+03,1.781073335690996906e-12
1.579000000000000000e+03,3.406240675803140494e-12
1.581000000000000000e+03,1.730171127894974958e-12
1.583000000000000000e+03,1.680058436120956955e-12
1.585000000000000000e+03,1.818781453569173756e-12
1.587000000000000000e+03,1.603897570312540211e-12
1.589000000000000000e+03,3.514741124012454865e-12
1.591000000000000000e+03,1.805334636124922287e-12
1.593000000000000000e+03,1.982095694172403277e-12
1.595000000000000000e+03,1.610532128666630758e-12
1.597000000000000000e+03,1.822821407704289243e-12
1.599000000000000000e+03,3.351531292078435698e-12
1.601000000000000000e+03,1.704815325367925460e-12
1.603000000000000000e+03,1.595217556139838511e-12
1.605000000000000000e+03,1.492816070411406848e-12
1.607000000000000000e+03,1.577740108699154931e-12
1.609000000000000000e+03,3.191234060860581589e-12
1.611000000000000000e+03,1.600887608241285953e-12
1.613000000000000000e+03,1.723643471875091482e-12
1.615000000000000000e+03,1.522308971588226534e-12
