wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
1.305000000000000000e+03,1.866906060947033836e+02,1.305000000000000000e+03,1.866906060947033666e+03
1.307000000000000000e+03,2.350737631161845798e+02,1.307000000000000000e+03,2.350737631161845457e+03
1.309000000000000000e+03,3.919164713657526704e+02,1.309000000000000000e+03,3.919164713657526590e+03
1.311000000000000000e+03,1.760234805555653566e+02,1.311000000000000000e+03,1.760234805555653338e+03
1.313000000000000000e+03,2.243387083375420161e+02,1.313000000000000000e+03,2.243387083375420389e+03
1.315000000000000000e+03,1.774249324232566494e+02,1.315000000000000000e+03,1.774249324232566323e+03
1.317000000000000000e+03,1.688151213870734182e+02,1.317000000000000000e+03,1.688151213870734182e+03
1.319000000000000000e+03,3.994199979854999469e+02,1.319000000000000000e+03,3.994199979854999583e+03
1.321000000000000000e+03,1.989272865660131799e+02,1.321000000000000000e+03,1.989272865660131856e+03
1.323000000000000000e+03,1.814659865682684483e+02,1.323000000000000000e+03,1.814659865682684540e+03
1.325000000000000000e+03,1.845557591074140760e+02,1.325000000000000000e+03,1.845557591074141101e+03
1.327000000000000000e+03,1.767854004842471056e+02,1.327000000000000000e+03,1.767854004842470886e+03
1.329000000000000000e+03,3.864913186043398241e+02,1.329000000000000000e+03,3.864913186043398582e+03
1.331000000000000000e+03,1.815820066944922644e+02,1.331000000000000000e+03,1.815820066944922701e+03
1.333000000000000000e+03,1.790731121668133312e+02,1.333000000000000000e+03,1.790731121668133255e+03
1.335000000000000000e+03,1.782613464130733121e+02,1.335000000000000000e+03,1.782613464130733064e+03
1.337000000000000000e+03,1.654446935825948799e+02,1.337000000000000000e+03,1.654446935825948913e+03
1.339000000000000000e+03,1.662747247143104232e+02,1.339000000000000000e+03,1.662747247143104005e+03
1.341000000000000000e+03,3.958465908363481844e+02,1.341000000000000000e+03,3.958465908363481503e+03
1.343000000000000000e+03,1.661790503958688703e+02,1.343000000000000000e+03,1.661790503958688532e+03
1.345000000000000000e+03,1.721035389002623219e+02,1.345000000000000000e+03,1.721035389002623333e+03
1.347000000000000000e+03,1.891755280483415618e+02,1.347000000000000000e+03,1.891755280483415618e+03
1.349000000000000000e+03,1.737963114123535036e+02,1.349000000000000000e+03,1.737963114123534979e+03
1.351000000000000000e+03,3.732704252301152223e+02,1.351000000000000000e+03,3.732704252301152337e+03
1.353000000000000000e+03,1.730933619940470294e+02,1.353000000000000000e+03,1.730933619940470180e+03
1.355000000000000000e+03,1.882799113669175313e+02,1.355000000000000000e+03,1.882799113669175313e+03
1.357000000000000000e+03,1.545106647089190801e+02,1.357000000000000000e+03,1.545106647089190574e+03
1.359000000000000000e+03,1.913007662846283949e+02,1.359000000000000000e+03,1.913007662846283893e+03
1.361000000000000000e+03,3.106062484200412541e+02,1.361000000000000000e+03,3.106062484200413110e+03
1.363000000000000000e+03,1.561740766763987551e+02,1.363000000000000000e+03,1.561740766763987722e+03
1.365000000000000000e+03,1.457001046265843911e+02,1.365000000000000000e+03,1.457001046265843797e+03
1.367000000000000000e+03,1.594653344968805300e+02,1.367000000000000000e+03,1.594653344968805413e+03
1.369000000000000000e+03,1.583407036570657169e+02,1.369000000000000000e+03,1.583407036570657056e+03
1.371000000000000000e+03,3.067461723354211927e+02,1.371000000000000000e+03,3.067461723354212154e+03
1.373000000000000000e+03,1.450289071536136873e+02,1.373000000000000000e+03,1.450289071536136589e+03
1.375000000000000000e+03,1.623686565696854984e+02,1.375000000000000000e+03,1.623686565696854814e+03
1.377000000000000000e+03,1.357384763699419636e+02,1.377000000000000000e+03,1.357384763699419864e+03
1.379000000000000000e+03,1.555144610245618253e+02,1.379000000000000000e+03,1.555144610245618424e+03
1.381000000000000000e+03,2.910653495390285457e+02,1.381000000000000000e+03,2.910653495390285570e+03
1.383000000000000000e+03,1.574390693905660044e+02,1.383000000000000000e+03,1.574390693905659873e+03
1.385000000000000000e+03,1.695392646991697632e+02,1.385000000000000000e+03,1.695392646991697575e+03
1.387000000000000000e+03,1.384777673144723451e+02,1.387000000000000000e+03,1.384777673144723394e+03
1.389000000000000000e+03,1.660160619265559490e+02,1.389000000000000000e+03,1.660160619265559717e+03
1.391000000000000000e+03,3.051763883471004988e+02,1.391000000000000000e+03,3.051763883471004647e+03
1.393000000000000000e+03,1.466112370148421462e+02,1.393000000000000000e+03,1.466112370148421633e+03
1.395000000000000000e+03,1.329239251360514515e+02,1.395000000000000000e+03,1.329239251360514345e+03
1.397000000000000000e+03,1.396183698994036888e+02,1.397000000000000000e+03,1.396183698994037059e+03
1.399000000000000000e+03,1.298192503100060264e+02,1.399000000000000000e+03,1.298192503100060094e+03
1.401000000000000000e+03,1.243123724283123153e+02,1.401000000000000000e+03,1.243123724283123011e+03
1.403000000000000000e+03,2.696970493434682226e+02,1.403000000000000000e+03,2.696970493434681885e+03
1.405000000000000000e+03,1.260328383510492927e+02,1.405000000000000000e+03,1.260328383510493040e+03
1.407000000000000000e+03,1.327269896302514667e+02,1.407000000000000000e+03,1.327269896302514780e+03
1.409000000000000000e+03,1.386817787132927720e+02,1.409000000000000000e+03,1.386817787132927833e+03
