wavelength_100s,snr_100s,wavelength_1000s,snr_1000s
1.079000000000000000e+03,2.653689962179321782e+01,1.079000000000000000e+03,8.391704484412740328e+01
1.081000000000000000e+03,2.649754552938466290e+01,1.081000000000000000e+03,8.379259627686762713e+01
1.083000000000000000e+03,2.620147117443502793e+01,1.083000000000000000e+03,8.285632695846165063e+01
1.085000000000000000e+03,2.665144970989496898e+01,1.085000000000000000e+03,8.427928402870189473e+01
1.087000000000000000e+03,2.644950316016747038e+01,1.087000000000000000e+03,8.364067296595054302e+01
1.089000000000000000e+03,2.727993923530857501e+01,1.089000000000000000e+03,8.626674241456717596e+01
1.091000000000000000e+03,2.647974492163401550e+01,1.091000000000000000e+03,8.373630581264033879e+01
1.093000000000000000e+03,2.643043337119294023e+01,1.093000000000000000e+03,8.358036899829225774e+01
1.095000000000000000e+03,2.628543849523751774e+01,1.095000000000000000e+03,8.312185494121955287e+01
1.097000000000000000e+03,2.638299156317036775e+01,1.097000000000000000e+03,8.343034482862448442e+01
1.099000000000000000e+03,2.635743112693913304e+01,1.099000000000000000e+03,8.334951563214629289e+01
1.101000000000000000e+03,2.641404379922731138e+01,1.101000000000000000e+03,8.352854062100563226e+01
1.103000000000000000e+03,2.637134496056955513e+01,1.103000000000000000e+03,8.339351503740307692e+01
1.105000000000000000e+03,2.622397014516318237e+01,1.105000000000000000e+03,8.292747495097206922e+01
1.107000000000000000e+03,2.633234277878520047e+01,1.107000000000000000e+03,8.327017930924857581e+01
1.109000000000000000e+03,2.624228247963684879e+01,1.109000000000000000e+03,8.298538363718365929e+01
1.111000000000000000e+03,2.627358500573737388e+01,1.111000000000000000e+03,8.308437091617820158e+01
1.113000000000000000e+03,2.627645969514861690e+01,1.113000000000000000e+03,8.309346148228328843e+01
1.115000000000000000e+03,2.631231610338778637e+01,1.115000000000000000e+03,8.320684940103190286e+01
1.117000000000000000e+03,2.621683794295594438e+01,1.117000000000000000e+03,8.290492094726431560e+01
1.119000000000000000e+03,2.640075078084601401e+01,1.119000000000000000e+03,8.348650440594225586e+01
1.121000000000000000e+03,2.646021683158301130e+01,1.121000000000000000e+03,8.367455256972630195e+01
1.123000000000000000e+03,2.611159665318107059e+01,1.123000000000000000e+03,8.257211876768192838e+01
1.125000000000000000e+03,2.631308028708293634e+01,1.125000000000000000e+03,8.320926596205931958e+01
1.127000000000000000e+03,2.598464623907234383e+01,1.127000000000000000e+03,8.217066630919677550e+01
1.129000000000000000e+03,2.581763641865041947e+01,1.129000000000000000e+03,8.164253488504779455e+01
1.131000000000000000e+03,2.585643429176393937e+01,1.131000000000000000e+03,8.176522453245671329e+01
1.133000000000000000e+03,2.567552383505355351e+01,1.133000000000000000e+03,8.119313543671060529e+01
1.135000000000000000e+03,2.445705002539660811e+01,1.135000000000000000e+03,7.733998292893217297e+01
1.137000000000000000e+03,2.534173450198188959e+01,1.137000000000000000e+03,8.013760088553559058e+01
1.139000000000000000e+03,2.530529234381256032e+01,1.139000000000000000e+03,8.002236066286836547e+01
1.141000000000000000e+03,2.520768594094867154e+01,1.141000000000000000e+03,7.971370211560251562e+01
1.143000000000000000e+03,2.505775613061971185e+01,1.143000000000000000e+03,7.923958242580597755e+01
1.145000000000000000e+03,2.478236494262360878e+01,1.145000000000000000e+03,7.836871902419865421e+01
1.147000000000000000e+03,2.475853098983485268e+01,1.147000000000000000e+03,7.829334944774126370e+01
1.149000000000000000e+03,2.460916009953641037e+01,1.149000000000000000e+03,7.782099721827103167e+01
1.151000000000000000e+03,1.889205895036902660e+01,1.151000000000000000e+03,5.974193597333606220e+01
1.153000000000000000e+03,3.077110960323758349e+01,1.153000000000000000e+03,9.730679247691088563e+01
1.155000000000000000e+03,2.461567918038731761e+01,1.155000000000000000e+03,7.784161236201069300e+01
1.157000000000000000e+03,2.616230562078786193e+01,1.157000000000000000e+03,8.273247460311506529e+01
1.159000000000000000e+03,2.493806459309753620e+01,1.159000000000000000e+03,7.886108455058838729e+01
1.161000000000000000e+03,2.483153922052201423e+01,1.161000000000000000e+03,7.852422174465169746e+01
1.163000000000000000e+03,2.969845758174830053e+01,1.163000000000000000e+03,9.391476895222089638e+01
1.165000000000000000e+03,2.422641659314445306e+01,1.165000000000000000e+03,7.661065597843324326e+01
1.167000000000000000e+03,2.490859010271006824e+01,1.167000000000000000e+03,7.876787802809124628e+01
1.169000000000000000e+03,2.191602687656033410e+01,1.169000000000000000e+03,6.930456219139652774e+01
1.171000000000000000e+03,2.205231774645250553e+01,1.171000000000000000e+03,6.973555176454146931e+01
1.173000000000000000e+03,2.367229402790853854e+01,1.173000000000000000e+03,7.485836656939252975e+01
1.175000000000000000e+03,2.981705071539666463e+01,1.175000000000000000e+03,9.428979336940645339e+01
1.177000000000000000e+03,1.994467901813441912e+01,1.177000000000000000e+03,6.307061289827547768e+01
1.179000000000000000e+03,2.131585122136591437e+01,1.179000000000000000e+03,6.740664012479830092e+01
1.181000000000000000e+03,2.040368741452299872e+01,1.181000000000000000e+03,6.452212489600481149e+01
1.183000000000000000e+03,1.929060053740300518e+01,1.183000000000000000e+03,6.100223513066164571e+01
1.185000000000000000e+03,2.681878664139973978e+01,1.185000000000000000e+03,8.480844986892054749e+01
1.187000000000000000e+03,2.288390458490720647e+01,1.187000000000000000e+03,7.236526024627681863e+01
1.189000000000000000e+03,1.715279858947439706e+01,1.189000000000000000e+03,5.424191178886257347e+01
1.191000000000000000e+03,1.846162505449021296e+01,1.191000000000000000e+03,5.838078448021924771e+01
1.193000000000000000e+03,1.872278895617244743e+01,1.193000000000000000e+03,5.920665725215138053e+01
1.195000000000000000e+03,2.511420653056220686e+01,1.195000000000000000e+03,7.941809426445166764e+01
1.197000000000000000e+03,1.840750386809408568e+01,1.197000000000000000e+03,5.820963826153695209e+01
1.199000000000000000e+03,1.915262167868162635e+01,1.199000000000000000e+03,6.056590766815151028e+01
1.201000000000000000e+03,2.001180333839524650e+01,1.201000000000000000e+03,6.328287863669028468e+01
1.203000000000000000e+03,1.928738109028421732e+01,1.203000000000000000e+03,6.099205434495981848e+01
1.205000000000000000e+03,2.560477344503069830e+01,1.205000000000000000e+03,8.096940305889313549e+01
1.207000000000000000e+03,1.804031763453456350e+01,1.207000000000000000e+03,5.704849343803030592e+01
1.209000000000000000e+03,1.448744149258396696e+01,1.209000000000000000e+03,4.581331258499471915e+01
1.211000000000000000e+03,2.042297321788153752e+01,1.211000000000000000e+03,6.458311196112390462e+01
1.213000000000000000e+03,1.622141783764710965e+01,1.213000000000000000e+03,5.129662724424830600e+01
1.215000000000000000e+03,2.181511079874816517e+01,1.215000000000000000e+03,6.898543753297927594e+01
1.217000000000000000e+03,1.551985467945685215e+01,1.217000000000000000e+03,4.907808974190608353e+01
1.219000000000000000e+03,1.680313993749451029e+01,1.219000000000000000e+03,5.313619404502198051e+01
1.221000000000000000e+03,1.768698275564985423e+01,1.221000000000000000e+03,5.593115044397488589e+01
1.223000000000000000e+03,1.747145682216260099e+01,1.223000000000000000e+03,5.524959759932121273e+01
1.225000000000000000e+03,1.821681952679462313e+01,1.225000000000000000e+03,5.760664142890173878e+01
1.227000000000000000e+03,2.401200230598041685e+01,1.227000000000000000e+03,7.593261846811348903e+01
1.229000000000000000e+03,1.945396621646250779e+01,1.229000000000000000e+03,6.151884276798976714e+01
1.231000000000000000e+03,1.666613156578248223e+01,1.231000000000000000e+03,5.270293553190099800e+01
1.233000000000000000e+03,1.900786142688659908e+01,1.233000000000000000e+03,6.010813555781974316e+01
1.235000000000000000e+03,1.797604195784454006e+01,1.235000000000000000e+03,5.684523590154124406e+01
1.237000000000000000e+03,2.559391606815224307e+01,1.237000000000000000e+03,8.093506901854235025e+01
1.239000000000000000e+03,1.901051100801036142e+01,1.239000000000000000e+03,6.011651426901622841e+01
1.241000000000000000e+03,1.860726609269685738e+01,1.241000000000000000e+03,5.884134188174383695e+01
1.243000000000000000e+03,1.668488987794962952e+01,1.243000000000000000e+03,5.276225452340963074e+01
1.245000000000000000e+03,1.867431894882187393e+01,1.245000000000000000e+03,5.905338163071845514e+01
1.247000000000000000e+03,2.397386098642702024e+01,1.247000000000000000e+03,7.581200502536043473e+01
1.249000000000000000e+03,1.782649568073522772e+01,1.249000000000000000e+03,5.637232905027710927e+01
1.251000000000000000e+03,1.690723572275818043e+01,1.251000000000000000e+03,5.346537382127897331e+01
1.253000000000000000e+03,1.853293486791511668e+01,1.253000000000000000e+03,5.860628591016359223e+01
1.255000000000000000e+03,1.644576763150712040e+01,1.255000000000000000e+03,5.200608358543519927e+01
1.257000000000000000e+03,2.308066016242580787e+01,1.257000000000000000e+03,7.298745601357740043e+01
1.259000000000000000e+03,1.739150194390136761e+01,1.259000000000000000e+03,5.499675807397423455e+01
1.261000000000000000e+03,1.588262440270668030e+01,1.261000000000000000e+03,5.022526833352448961e+01
1.263000000000000000e+03,1.601215871526039436e+01,1.263000000000000000e+03,5.063489179633835846e+01
1.265000000000000000e+03,1.639404890936573977e+01,1.265000000000000000e+03,5.184253462579505367e+01
1.267000000000000000e+03,2.270639822555772369e+01,1.267000000000000000e+03,7.180393585156812719e+01
1.269000000000000000e+03,1.523963664430256415e+01,1.269000000000000000e+03,4.819196250936139592e+01
1.271000000000000000e+03,1.659593530847792664e+01,1.271000000000000000e+03,5.248095547559937302e+01
1.273000000000000000e+03,1.724181397727301857e+01,1.273000000000000000e+03,5.452340316110937124e+01
1.275000000000000000e+03,1.458206149686913911e+01,1.275000000000000000e+03,4.611252731075075673e+01
1.277000000000000000e+03,2.229043228021278722e+01,1.277000000000000000e+03,7.048853603521298794e+01
1.279000000000000000e+03,1.641923479682270681e+01,1.279000000000000000e+03,5.192217939505174229e+01
