waves,flux
1.157000000000000000e+03,2.280429999731192360e-10
1.159000000000000000e+03,2.213084720111465232e-10
1.161000000000000000e+03,2.269923691141280739e-10
1.163000000000000000e+03,2.336135114059760045e-10
1.165000000000000000e+03,2.328109691140945007e-10
1.167000000000000000e+03,2.257543257524620386e-10
1.169000000000000000e+03,1.929174397643652852e-10
1.171000000000000000e+03,2.167557681612278632e-10
1.173000000000000000e+03,2.161867944965526987e-10
1.175000000000000000e+03,1.925043846790505350e-10
1.177000000000000000e+03,1.625593667900951471e-10
1.179000000000000000e+03,2.031337330312610201e-10
1.181000000000000000e+03,2.107767834790236844e-10
1.183000000000000000e+03,1.943050867473487582e-10
1.185000000000000000e+03,1.960514699578061564e-10
1.187000000000000000e+03,2.118410712855544766e-10
1.189000000000000000e+03,2.064274170619655537e-10
1.191000000000000000e+03,1.653165124949496009e-10
1.193000000000000000e+03,1.702043680764283145e-10
1.195000000000000000e+03,1.950561006695365254e-10
1.197000000000000000e+03,1.753969064895629364e-10
1.199000000000000000e+03,1.530956873647197178e-10
1.201000000000000000e+03,1.535261126801043227e-10
1.203000000000000000e+03,1.732844923488203357e-10
1.205000000000000000e+03,1.798146686112936884e-10
1.207000000000000000e+03,1.399588825601019208e-10
1.209000000000000000e+03,1.634491499262212559e-10
1.211000000000000000e+03,1.387757546548749903e-10
1.213000000000000000e+03,7.173168623382663824e-11
1.215000000000000000e+03,1.120136459995740027e-11
1.217000000000000000e+03,8.427290800086485800e-12
1.219000000000000000e+03,9.353440047153189710e-11
1.221000000000000000e+03,1.524666511338331995e-10
1.223000000000000000e+03,1.698591526378798096e-10
1.225000000000000000e+03,1.786528177708894104e-10
1.227000000000000000e+03,1.850735154751845079e-10
1.229000000000000000e+03,1.616914600358990979e-10
1.231000000000000000e+03,1.717556263880481889e-10
1.233000000000000000e+03,1.196389684291174028e-10
1.235000000000000000e+03,4.793101679445577190e-11
1.237000000000000000e+03,4.392041002960835433e-11
1.239000000000000000e+03,5.639521055006424533e-11
1.241000000000000000e+03,7.507954845063804405e-11
1.243000000000000000e+03,1.486649926427108248e-10
1.245000000000000000e+03,2.176476535547796470e-10
1.247000000000000000e+03,2.016061369991355980e-10
1.249000000000000000e+03,1.761815418172188348e-10
1.251000000000000000e+03,1.575233090896734933e-10
1.253000000000000000e+03,1.570636164231035732e-10
1.255000000000000000e+03,1.621207752027356283e-10
1.257000000000000000e+03,1.748525958796039346e-10
1.259000000000000000e+03,1.536984363084384073e-10
1.261000000000000000e+03,1.240558456180051259e-10
1.263000000000000000e+03,1.768258718460992149e-10
1.265000000000000000e+03,1.787800077732468464e-10
1.267000000000000000e+03,1.616491228751858610e-10
1.269000000000000000e+03,1.747906995909108891e-10
1.271000000000000000e+03,1.617937673988171976e-10
1.273000000000000000e+03,1.583008848013037714e-10
1.275000000000000000e+03,1.785222517928865396e-10
1.277000000000000000e+03,1.696652186304405243e-10
